ID;CITY;NATION;
1;KUMLA;SWE;
2;MALILLA;SWE;
3;GISLAVED;SWE;
4;MOTALA;SWE;
5;HALLSTAVIK;SWE;
6;VARSTERVIK;SWE;
7;NORRKOPING;SWE;
8;ELSKILSTUNA;SWE;
9;CZESTOCHOWA;POL;
10;GORZOW WIELKOPOLSKI;POL;
11;GRUDZIADZ;POL;
12;LESZNO;POL;
13;LUBLIN;POL;
14;TORUN;POL;
15;WROCLAW;POL;
16;ZIELONA GORA;POL;
17;BYDGOSZCZ;POL;
18;KROSNO;POL;
19;LODZ;POL;
20;OSTROW WLKP.;POL;
21;PILA;POL;
22;POZNAN;POL;
23;RYBNIK;POL;
24;RZESZOW;POL;
25;OPOLE;POL;
26;LANDSHUT;GER;
27;DAUGAVPILS;LAT;
28;KRAKOW;POL;
29;GNIEZNO;POL;
30;SWIETOCHLOWICE;POL;
31;GDANSK;POL;
32;MANCHESTER;GBR;
33;IPSWICH;GBR;
34;KINGS LYNN;GBR;
35;LEICESTER;GBR;
36;SHEFFIELD;GBR;
37;NORTHAMPTON;GBR;
38;ESBJERG;DEN;
39;GRINDSTED;DEN;
40;HOLSTED;DEN;
41;SLANGERUP;DEN;
42;OUTRUP;DEN;
43;VOJENS;DEN;
44;BROVST;DEN;
45;HARNDRUP;DEN;
